id,member_id,date,activity,status,remark
290,48,2025-12-23,กิจกรรมแถว,present,
291,49,2025-12-23,กิจกรรมแถว,present,
292,51,2025-12-23,กิจกรรมแถว,present,
293,54,2025-12-23,กิจกรรมแถว,present,
294,55,2025-12-23,กิจกรรมแถว,present,
295,56,2025-12-23,กิจกรรมแถว,present,
296,57,2025-12-23,กิจกรรมแถว,present,
297,58,2025-12-23,กิจกรรมแถว,present,
298,59,2025-12-23,กิจกรรมแถว,present,
299,61,2025-12-23,กิจกรรมแถว,absent,
300,63,2025-12-23,กิจกรรมแถว,present,
301,65,2025-12-23,กิจกรรมแถว,present,
302,86,2025-12-23,กิจกรรมแถว,present,
303,110,2025-12-23,กิจกรรมแถว,present,
304,111,2025-12-23,กิจกรรมแถว,present,
305,112,2025-12-23,กิจกรรมแถว,present,
306,113,2025-12-23,กิจกรรมแถว,present,
307,114,2025-12-23,กิจกรรมแถว,present,
308,115,2025-12-23,กิจกรรมแถว,present,
309,116,2025-12-23,กิจกรรมแถว,present,
310,117,2025-12-23,กิจกรรมแถว,present,
311,118,2025-12-23,กิจกรรมแถว,present,
312,119,2025-12-23,กิจกรรมแถว,present,
313,124,2025-12-23,กิจกรรมแถว,present,
314,125,2025-12-23,กิจกรรมแถว,absent,
324,2,2025-12-24,กิจกรรมแถว,present,
325,3,2025-12-24,กิจกรรมแถว,present,
326,4,2025-12-24,กิจกรรมแถว,present,
327,5,2025-12-24,กิจกรรมแถว,present,
328,6,2025-12-24,กิจกรรมแถว,present,
329,8,2025-12-24,กิจกรรมแถว,present,
330,9,2025-12-24,กิจกรรมแถว,present,
331,10,2025-12-24,กิจกรรมแถว,present,
332,11,2025-12-24,กิจกรรมแถว,present,
333,12,2025-12-24,กิจกรรมแถว,present,
334,13,2025-12-24,กิจกรรมแถว,present,
335,14,2025-12-24,กิจกรรมแถว,present,
336,15,2025-12-24,กิจกรรมแถว,present,
337,16,2025-12-24,กิจกรรมแถว,present,
338,17,2025-12-24,กิจกรรมแถว,present,
339,18,2025-12-24,กิจกรรมแถว,present,
340,19,2025-12-24,กิจกรรมแถว,present,
341,21,2025-12-24,กิจกรรมแถว,present,
342,22,2025-12-24,กิจกรรมแถว,present,
343,25,2025-12-24,กิจกรรมแถว,present,
344,26,2025-12-24,กิจกรรมแถว,present,
345,27,2025-12-24,กิจกรรมแถว,present,
346,28,2025-12-24,กิจกรรมแถว,present,
347,30,2025-12-24,กิจกรรมแถว,present,
348,31,2025-12-24,กิจกรรมแถว,present,
349,33,2025-12-24,กิจกรรมแถว,present,
350,34,2025-12-24,กิจกรรมแถว,present,
351,35,2025-12-24,กิจกรรมแถว,present,
352,36,2025-12-24,กิจกรรมแถว,present,
353,37,2025-12-24,กิจกรรมแถว,present,
354,38,2025-12-24,กิจกรรมแถว,present,
355,39,2025-12-24,กิจกรรมแถว,present,
356,43,2025-12-24,กิจกรรมแถว,present,
357,44,2025-12-24,กิจกรรมแถว,present,
358,46,2025-12-24,กิจกรรมแถว,present,
359,47,2025-12-24,กิจกรรมแถว,present,
360,48,2025-12-24,กิจกรรมแถว,present,
361,49,2025-12-24,กิจกรรมแถว,present,
362,51,2025-12-24,กิจกรรมแถว,present,
363,54,2025-12-24,กิจกรรมแถว,present,
364,55,2025-12-24,กิจกรรมแถว,present,
365,56,2025-12-24,กิจกรรมแถว,present,
366,57,2025-12-24,กิจกรรมแถว,present,
367,58,2025-12-24,กิจกรรมแถว,present,
368,59,2025-12-24,กิจกรรมแถว,present,
369,61,2025-12-24,กิจกรรมแถว,present,
370,63,2025-12-24,กิจกรรมแถว,present,
371,65,2025-12-24,กิจกรรมแถว,present,
372,86,2025-12-24,กิจกรรมแถว,present,
